途 tu2 途 to
汝 ru3 汝 unu
芒 mang2 芒 nogi
茜 qian4 茜 akane
颂 song4 頌 shou/ju
愚 yu2 愚 gu
凹 ao1 凹 ou
妓 ji4 妓 gi
纲 gang1 綱 tsuna/kou
朔 shuo4 朔 saku
裔 yi4 裔 ei
烛 zhu2 燭 shoku
猿 yuan2 猿 saru/mashira
莺 ying1 鶯 uguisu
绢 juan4 絹 kinu
栓 shuan1 栓 sen
庚 geng1 庚 kanoe
笈 ji2 笈 oi
脾 pi2 脾 hi
冶 ye3 冶 ya
婢 bi4 婢 hi
箕 ji1 箕 ki/mi
茸 rong2 茸 kinoko
玺 xi3 璽 ji
唾 tuo4 唾 tsuba
鳗 man2 鰻 unagi
辕 yuan2 轅 nagae
岬 jia3 岬 misaki
橇 qiao1 橇 sori/kanjiki
栉 zhi4 櫛 kushi
瞋 chen1 瞋 shin
笊 zhao4 笊 zaru
蛸 shao1 蛸 tako
轸 zhen3 軫 shin
辻 shi2 辻 tsuji
铗 jia2 鋏 hasami/yattoko
鸩 zhen4 鴆 chin
中 zhong1 中 chun/naka/chuu/juu
件 jian4 件 kudan/kudari/ken
省 sheng3 省 shou
冲 chong1 衝 shou
船 chuan2 船 fune
顶 ding3 頂 itadaki
商 shang1 商 shou
枪 qiang1 槍 yari
狂 kuang2 狂 kyou
胜 sheng4 勝 shou
升 sheng1 升 shou/masu
锁 suo3 鎖 kusari
港 gang3 港 minato/kou
镜 jing4 鏡 kagami
皱 zhou4 皺 shibo/shiwa
赏 shang3 賞 shou
霞 xia2 霞 kasumi
胶 jiao1 膠 nikawa
肠 chang2 腸 chou
兜 dou1 兜 kabuto
陵 ling2 陵 misasagi
碑 bei1 碑 ishibumi
汀 ting1 汀 migiwa
镐 gao3 鎬 shinogi
瞳 tong2 瞳 hitomi
柏 bai3 柏 kashiwa
侍 shi4 侍 samurai
绊 ban4 絆 kizuna
酌 zhuo2 酌 shaku
笙 sheng1 笙 shou
础 chu3 礎 ishizue
蛹 yong3 蛹 sanagi
隼 sun3 隼 hayabusa
畑 tian2 畑 hatake
笕 jian3 筧 kakehi
篠 xiao3 篠 shino
膣 zhi4 膣 chitsu
钲 zheng1 鉦 kane
锖 qiang1 錆 sabi
鬣 lie4 鬣 tategami
人 ren2 人 nin/jin/to/hito
