共,together,"共有 (きょうゆう): joint ownership
共通 (きょうつう): common
共同 (きょうどう): doing together (as equals)
共感 (きょうかん): sympathy
公共 (こうきょう): public"
叫,shout,"叫び (さけび): shout
叫ぶ (さけぶ): to shout"
仰,face-up,信仰 (しんこう): (religious) faith
曲,musical composition,"曲 (きょく): composition
作曲 (さっきょく): composition
楽曲 (がっきょく): musical composition
名曲 (めいきょく): famous music
新曲 (しんきょく): new piece"
刑,punish,"刑事 (けいじ): (police) detective
死刑 (しけい): death penalty"
血,blood,"血 (ち): blood
血液 (けつえき): blood
血管 (けっかん): blood vessel
血圧 (けつあつ): blood pressure
吸血鬼 (きゅうけつき): vampire"
件,affair,"事件 (じけん): event
件 (けん): matter
条件 (じょうけん): condition
案件 (あんけん): matter (to discuss)
物件 (ぶっけん): article"
交,mix,"交換 (こうかん): exchange
交流 (こうりゅう): (cultural) exchange
交通 (こうつう): traffic
交渉 (こうしょう): negotiations
交代 (こうたい): alternation"
光,ray,"光 (ひかり): light
観光 (かんこう): sightseeing
光景 (こうけい): scene
光る (ひかる): to shine"
向,over there,"向け (むけ): intended for ...
方向 (ほうこう): direction
傾向 (けいこう): tendency
向かう (むかう): to face
向上 (こうじょう): elevation"
后,empress,
好,like,"好き (すき): liked
大好き (だいすき): loveable
好み (このみ): liking
格好 (かっこう): shape
好評 (こうひょう): favorable reception"
江,inlet,"江戸 (えど): Edo (old name of Tokyo)
江 (え): inlet"
考,think,"考え (かんがえ): thinking
考える (かんがえる): to think (about, of)
参考 (さんこう): reference
考え方 (かんがえかた): way of thinking
思考 (しこう): thought"
行,go,"行く (いく): to go
行き (いき): the way there
行動 (こうどう): action
行う (おこなう): to perform
実行 (じっこう): execution (e.g. of a plan)"
合,fit,"場合 (ばあい): case
試合 (しあい): match
組み合わせ (くみあわせ): combination
具合 (ぐあい): condition
都合 (つごう): circumstances"
再,again,"再 (さい): re-
再生 (さいせい): resuscitation
再び (ふたたび): again
再度 (さいど): twice
再開 (さいかい): reopening"
在,exist,"現在 (げんざい): now
存在 (そんざい): existence
滞在 (たいざい): stay
在庫 (ざいこ): inventory
在住 (ざいじゅう): residing"
旨,delicious,"旨 (むね): principle
趣旨 (しゅし): meaning"
死,death,"死 (し): death
死ぬ (しぬ): to lose spirit
必死 (ひっし): frantic
死亡 (しぼう): death
死者 (ししゃ): casualty"
糸,thread,糸 (いと): thread
至,climax,至る (いたる): to arrive at (e.g. a decision)
字,letter,"文字 (もじ): letter (of alphabet)
数字 (すうじ): numeral
字 (あざ): section of village
漢字 (かんじ): Chinese characters
赤字 (あかじ): (being in) the red"
寺,buddhist temple,寺 (てら): temple (Buddhist)
次,next,"次 (つぎ): next
次回 (じかい): next time (occasion)
次第 (しだい): depending on
次元 (じげん): dimension
次々 (つぎつぎ): in succession"
耳,ear,耳 (みみ): ear
自,oneself,"自分 (じぶん): myself
自身 (じしん): (one's) self
自然 (しぜん): nature
自由 (じゆう): freedom
自己 (じこ): self"
式,style,"式 (しき): equation
形式 (けいしき): form (as opposed to substance)
公式 (こうしき): formal
方式 (ほうしき): form
正式 (せいしき): due form"
芝,turf,"芝 (しば): lawn
芝居 (しばい): play"
守,protect,"守る (まもる): to protect
守り (もり): babysitting
保守 (ほしゅ): maintenance
守備 (しゅび): defense"
朱,vermilion,
州,state,"州 (しゅう): state
九州 (きゅうしゅう): Kyushu (southernmost of the four main islands of Japan)
欧州 (おうしゅう): Europe"
舟,boat,
充,allot,"充実 (じゅうじつ): fullness
充電 (じゅうでん): charging (electrically)"
旬,ten-day period,"中旬 (ちゅうじゅん): middle of a month
旬 (しゅん): season (e.g. fruit, fish)
下旬 (げじゅん): last third of a month
上旬 (じょうじゅん): first 10 days of month"
巡,patrol,巡る (めぐる): to go around
如,likeness,如何 (どう): how
匠,artisan,師匠 (ししょう): master
色,color,"色 (いろ): colour
色々 (いろいろ): various
色んな (いろんな): various
景色 (けしき): scenery
黄色 (きいろ): yellow"
尽,exhaust,
迅,swift,迅速 (じんそく): quick
成,become,"作成 (さくせい): drawing up (e.g. legal document, contract, will, etc.)
成功 (せいこう): success
成長 (せいちょう): growth
完成 (かんせい): complete
構成 (こうせい): organization"
西,west,"西 (にし): west
関西 (かんさい): Kansai
西洋 (せいよう): the west"
舌,tongue,舌 (した): tongue
先,previous,"先 (さき): previous
先生 (せんせい): teacher
先日 (せんじつ): the other day
先週 (せんしゅう): last week
優先 (ゆうせん): preference"
