一,one
快,cheerful
順,obey
熊,bear
況,condition
般,generally
効,effect
密,secrecy
寒,cold
携,portable
弾,bullet
養,foster
拡,broaden
困,become distressed
跡,tracks
迷,astray
険,precipitous
捜,search
縄,straw rope
徒,junior
績,exploits
筆,writing brush
塚,hillock
射,shoot
謝,apologize
苗,seedling
描,sketch
秀,excel
惑,beguile
閣,tall
希,hope
骨,bone
署,government office
療,heal
鳴,chirp
屯,barracks
純,genuine
犯,crime
胸,bosom
革,leather
均,level
郷,home town
仏,Buddha
姉,older sister
幌,canopy
払,pay
辞,resign
油,oil
弱,weak
潟,lagoon
乱,riot
頂,place on the head
討,chastise
怒,angry
隣,neighboring
瞬,wink
包,wrap
抱,embrace
宝,treasure
脱,undress
禁,prohibition
植,plant
否,negate
拠,foothold
昔,long ago
没,drown
幅,breadth
暮,livelihood
帝,sovereign
隶,to capture
康,health
巨,gigantic
憲,constitution
礼,thanks
荒,laid waste
殿,Mr.
塁,bases
昇,rise up
晩,nightfall
恵,favor
厚,thick
壊,demolition
微,delicate
旡,crooked heaven
既,previously
概,outline
緯,horizontal
湯,hot water
誌,document
踏,step
卒,graduate
呂,spine
隠,conceal
詞,poetry
阿,africa
宛,allocate
腕,arm
舎,cottage
裕,abundant
窓,window
岐,branch off
昆,descendants
混,mix
暑,hot
複,duplicate
妙,exquisite
栄,prosperity
耒,plow
籍,enroll
麗,lovely
届,deliver
請,solicit
築,fabricate
救,salvation
詩,poem
益,benefit
采,form
採,pick
納,settlement
欧,Europe
承,acquiesce
敢,daring
厳,strict
露,dew
献,offering
閉,closed
驚,wonder
刊,publish
測,fathom
彑,variant of 彐 (snout)
互,mutually
抗,confront
荷,luggage
浅,shallow
摘,pinch
袋,sack
誘,entice
坊,boy
批,criticism
陣,camp
洗,wash
症,symptoms
触,contact
盟,alliance
詳,detailed
漫,cartoon
覇,hegemony
副,vice
姫,princess
輸,transport
功,achievement
刺,thorn
菜,vegetable
妹,younger sister
遣,dispatch
秘,secret
稿,draft
涙,tears
歯,tooth
齢,age
操,maneuver
薄,dilute
砂,sand
煙,smoke
縁,affinity
泊,overnight
腰,loins
脳,brain
鈴,small bell
伴,consort
龍,dragon
智,wisdom
床,bed
盤,tray
茨,thorn
臨,look to
狙,aim at
桜,cherry tree
牙,tusk
邪,wicked
杉,cedar
易,easy
懐,pocket
寿,longevity
募,recruit
鼻,nose
須,by all means
黙,silence
懸,suspend
往,outward journey
霊,spirits
竜,dragon
於,in
壁,wall
鶴,crane
獲,seize
匂,scent
掲,put up (a notice)
緊,tense
巡,patrol
併,join
燃,burn
枝,branch
詰,packed
滅,destroy
箱,box
吸,suck
猫,cat
湾,gulf
締,tighten
紹,introduce
剣,sabre
逮,apprehend
駄,burdensome
豪,overpowering
層,stratum
沼,marsh
戒,commandment
勇,courage
亘,span
宣,proclaim
襲,attack
邦,home country
儀,ceremony
濃,concentrated
奏,play music
貨,freight
柄,design
執,tenacious
柳,willow
維,fiber
塩,salt
附,affixed
駆,drive
損,loss
迫,urge
躍,leap
唯,solely
祖,ancestor
索,cord
灯,lamp
酔,drunk
宙,mid-air
奪,rob
毒,poison
稲,rice plant
俳,haiku
仁,humanity
胡,barbarian
湖,lake
肩,shoulder
垂,droop
郵,mail
貰,get
借,borrow
錦,brocade
盗,steal
哲,philosophy
扱,handle
亀,turtle
宜,best regards
忠,loyalty
弘,vast
芝,turf
簡,simplicity
童,juvenile
誤,mistake
捨,throw away
幼,infancy
紅,deep red
勧,persuade
尊,revered
券,ticket
埋,bury
緑,green
乳,milk
阜,mound
契,pledge
繰,winding
乞,beg
乾,dry
摩,chafe
握,grip
潮,tide
隆,hump
徴,indications
慢,ridicule
翌,the following
仰,face-up
傍,bystander
叫,shout
祝,celebrate
沿,run alongside
範,pattern
砲,cannon
浪,wandering
鏡,mirror
融,dissolve
狂,lunatic
恥,shame
悔,repent
騒,boisterous
梨,pear tree
輝,radiance
釈,explanation
悩,trouble
凄,uncanny
律,law
沈,sink
圏,sphere
枠,frame
牧,breed
屈,yield
堀,ditch
朋,companion
崩,crumble
浴,bathe
傾,lean
綱,hawser
衝,collide
虚,void
嘘,lie
診,checkup
賛,approve
噴,erupt
咲,blossom
軒,flats
漢,china
雷,thunder
寂,loneliness
訓,instruction
渉,ford
距,long-distance
縮,shrink
汚,dirty
招,beckon
飾,decorate
茂,overgrown
闇,darkness
伏,prostrated
憶,recollection
畑,farm
核,nucleus
踊,jump
揚,hoist
珍,rare
湿,damp
藩,clan
吐,spit
彩,coloring
刷,printing
誠,sincerity
徹,penetrate
斎,purification
看,watch over
棄,abandon
陰,shade
眺,stare
旗,national flag
殊,particularly
俊,genius
液,fluid
麦,wheat
麺,noodles
菊,chrysanthemum
揺,swing
酸,acid
旬,ten-day period
径,diameter
抑,repress
奉,observance
棒,rod
揮,brandish
努,toil
貫,pierce
慣,accustomed
羅,gauze
挑,challenge
卓,eminent
封,seal
慮,prudence
匹,equal
甚,tremendously
勘,intuition
釣,angling
稼,earnings
伯,chief
駐,stop-over
威,intimidate
双,pair
栃,horse chestnut
柔,tender
慶,jubilation
弥,all the more
銃,gun
漁,fishing
呉,give
趣,gist
魂,soul
尽,exhaust
尚,esteem
串,skewer
患,afflicted
購,subscription
僧,Buddhist priest
紫,purple
氷,ice
翼,wing
焦,char
鑑,specimen
敏,cleverness
繁,luxuriant
貸,lend
貧,poor
臭,stinking
拝,worship
垣,hedge
添,annexed
汗,sweat
滑,slippery
侵,encroach
睡,drowsy
駒,horse
孫,grandchild
籠,basket
昌,prosperous
唱,chant
譲,defer
唐,t'ang
泳,swim
潜,submerge
還,send back
傘,umbrella
俗,vulgar
笠,bamboo hat
祈,pray
沙,sand
遂,consummate
桃,peach tree
雅,gracious
控,withdraw
獄,prison
舗,pavement
忙,busy
該,above-stated
狭,cramped
墓,grave
履,footgear
尋,inquire
撲,slap
獣,animal
択,choose
靴,shoes
涼,refreshing
岳,point
柱,pillar
菓,confectionery
悟,enlightenment
柏,oak
透,transparent
婆,old woman
較,contrast
縦,vertical
掃,sweep
騎,equestrian
随,follow
浩,wide expanse
穂,ear
尻,buttocks
網,netting
灰,ashes
炭,charcoal
邸,residence
脇,aside
緩,slacken
滝,waterfall
誉,reputation
礎,cornerstone
膝,knee
帳,account book
哀,pathetic
飼,domesticate
撤,remove
偶,accidentally
塗,paint
遇,interview
冠,crown
鎌,sickle
償,reparation
斬,kill by slicing
暫,temporarily
痩,get thin
臓,entrails
滋,nourishing
剤,dose
雇,employ
賃,fare
僚,colleague
貞,upright
歓,delight
蘭,orchid
析,chop
慎,humility
喫,consume
械,contraption
尉,military officer
慰,consolation
偉,admirable
姓,surname
序,preface
寛,tolerant
覆,capsize
剛,sturdy
喋,talk
肌,texture
洲,continent
葬,interment
霧,fog
磨,grind
斯,this
筈,ought
塔,pagoda
癒,healing
罰,penalty
巣,nest
嫁,marry into
戯,frolic
旭,rising sun
佳,excellent
賢,intelligent
顧,look back
蒲,bulrush
偽,falsehood
貢,tribute
冒,risk
帽,cap
庄,level
征,subjugate
耐,resistant
粉,flour
堅,strict
豚,pork
架,rack
喧,noisy
繋,tether
棋,chess piece
栗,chestnut
裂,split
寧,rather
滞,stagnate
搭,board
腐,rot
掘,dig
袖,sleeve
隅,corner
卵,egg
胞,placenta
暦,calendar
翔,soar
促,stimulate
匠,artisan
幻,phantasm
贈,presents
恩,grace
葛,arrowroot
謎,riddle
憩,recess
烈,ardent
括,fasten
排,repudiate
癖,mannerism
暖,warmth
拘,arrest
朗,melodious
尼,nun
泥,mud
犠,sacrifice
李,plum
惜,pity
貯,savings
泰,peaceful
酷,cruel
抵,resist
鶏,chicken
揃,be complete
愚,foolish
貼,paste
奮,stirred up
享,receive
塾,cram school
這,crawl
蒼,blue
虎,tiger
債,bond
飽,sated
嘩,noisy
兔,rabbit
逸,deviate
爵,baron
淡,thin
銅,copper
嬢,lass
鍵,key
峰,summit
憎,hate
宴,banquet
澄,lucidity
