















丸,丶九
城,土成戊𠃌丿戈弋
浄,氵争⺈⺕亅
拭,扌式工弋
食,人良丶艮
侵,亻冖又⺕
信,亻言
津,氵聿肀二
神,礻申
甚,甘匹匚儿
帥,𠂤丿㠯巾
是,日疋乛龰
政,正一止攵
星,日生𠂉土
牲,牛生𠂉土
省,少ノ小目
窃,穴宀八切刀七
宣,宀亘一旦日
専,叀寸
泉,水白丿日
浅,氵㦮
洗,氵先⺧儿
染,木氿氵九
前,䒑刖月刂
祖,礻且
奏,禾𡗗
相,木目
荘,艹壮丬士
草,艹早日十
送,⻌关丷天一大
促,亻足口龰
則,貝目八刂
俗,亻谷
耐,而一丿冂丨寸
待,彳寺土寸
怠,心台厶口
胎,肉内人冂台厶口
退,⻌艮
単,⺍日十
炭,火八人厂山
胆,肉内人冂旦日一
段,殳几又
茶,艹𠆢木
昼,尺尸旦日一
柱,木主丶王
挑,扌兆
勅,束木口力
珍,𤣩㐱𠆢彡
追,辶𠂤丿㠯
亭,亠口冖丁
貞,⺊貝目八
帝,亠丷冖巾
訂,言丁
点,占⺊口灬
度,广丶厂廿又
怒,奴女又心
逃,辶兆
洞,氵同冂一口
峠,山上下
独,犭虫
栃,木厉厂万
南,十冂丷干
虹,虫工
派,氵𠂢
背,北丬匕肉内人冂
肺,肉内人冂巿一巾
畑,火八人田
発,癶二儿
卑,白丿日十
飛,升十廾
眉,目
美,𦍌丷王大
秒,禾少ノ小
品,口
訃,訁亖口卜
負,⺈貝目八
赴,走土龰卜
封,圭土寸
風,𠘨䖝丿虫
柄,木丙一内冂人
変,亦夂
便,亻更曰囗一
保,亻呆口木
胞,月包勹己
某,甘木
冒,日目
勃,孛力
盆,分八刀皿
昧,日未木
迷,辶米

約,糸幺小勺勹丶
勇,龴男田力
幽,山幺
洋,氵羊
要,覀女
律,彳聿肀二
柳,木卯𠂎卩
侶,亻呂口
厘,厂里田土
郎,良丶艮⻏
挨,扌矣
案,安宀女木
員,貝目八口
院,⻖完宀元二儿
唄,口貝目八
畝,亩亠田久
浦,氵甫
益,皿ハ
悦,忄兑丷兄儿口
宴,宀妟日女
桜,木⺍女
翁,公八厶羽习𠃌丿
俺,亻奄大电日乚
恩,心因口大
夏,夂頁一自八
家,宀豕
荷,艹何亻可丁口
華,艹
蚊,虫文亠乂
害,宀口丰
格,木各夂口
核,木亥亠
株,木朱丿未
釜,父王
陥,⻖⺈旧日
既,牙艮
記,訁亖口己
起,走土龰己
飢,飠几
鬼,甶丿田儿厶
帰,刂帚彐冖巾
宮,宀呂口
挙,兴手
恐,工心凡几丶
恭,井二㣺
胸,肉内人冂匈勹凶凵㐅
脅,肉内人冂劦力
訓,訁亖口川
郡,君尹口⺕丿⻏
恵,叀心
桁,木行彳亍一丁
倹,亻㑒

剣,㑒刂
拳,龹丷夫二人手
軒,車干
原,厂白丿日小
個,亻固囗古十口
庫,車广丶厂
娯,女呉𠃑口一八
悟,忄吾五口二
候,丨侯亻矢ユ𠂉大
校,木交亠父
耕,耒丿未木井二
航,舟亢亠几
貢,貝目八工
降,⻖夅夂㐄
高,亠口冋冂
剛,岡冂䒑山刂
骨,冎肉内人冂
根,木艮
唆,口夋允夂
差,左𠂇工羊
座,广丶厂坐土从
挫,扌坐土从
宰,宀辛立十
栽,木𢦏十戈弋丿
剤,斉刂
財,貝目八才
索,十冖糸幺小
殺,殳几又木
桟,木㦮
蚕,虫天一大
残,歹一夕㦮
師,𠂤丿㠯巾
恣,次冫欠心
紙,糸幺小氏
脂,肉内人冂旨日匕
時,日寺土寸
疾,疒冫广丶厂矢𠂉大
射,身寸
借,亻昔龷日
酌,酉勺勹丶
弱,弓冫
殊,歹一夕朱丿未木
珠,王朱丿未木
酒,氵酉
修,亻㣊夂彡
袖,衤由十囗
従,彳䒑龰
准,冫隹
殉,歹一夕旬日勹
純,糸幺小屯
書,曰囗一聿肀二
徐,彳余亼朩人一
除,⻖余亼朩人一
宵,宀肖肉小内人冂
将,丬寽爫寸
消,氵肖肉小内人冂
症,疒冫广丶厂正一止
祥,礻羊
称,禾尓𠂉小
笑,⺮禾
辱,辰寸
唇,口辰
娠,女辰
振,扌辰
浸,氵冖又⺕
真,十具目ハ
針,釒十
陣,⻖車
粋,米卆九十
衰,衣亠𧘇
凄,冫妻女肀
逝,⻌折扌斤
席,巾广丶厂廿
脊,肉内人冂
隻,隹又
扇,戸一尸羽习𠃌丿
栓,木全入王
租,禾且
素,糸幺小龶
倉,亻口尸
捜,扌田又
挿,扌
桑,木叒又
造,⻌告⺧口
息,心自
捉,扌足口龰
速,⻌束木口
孫,子系糸幺小
帯,丗凵十冖巾
泰,水𡗗
託,訁亖口乇丿七
値,亻直目一｜十
恥,心耳
致,攵至一厶土
畜,玄亠幺田
逐,⻌豕
秩,禾失大丿夫二人
衷,亠中𧘇
酎,酉寸
捗,扌步止
朕,月关丷天一大
通,辶甬龴用
庭,广丶厂廷廴𡈼
逓,辶乕
哲,折扌斤口
展,尸龷
徒,彳走土龰
途,辶余亼朩人一
倒,亻到至刂一厶土
凍,冫東束一木口
唐,广丶厂肀口
島,山
桃,木兆
討,訁亖口寸
透,辶秀禾乃𠄎丿
党,龸兄儿口
胴,月同冂一口
匿,匸若艹右𠂇口
特,牛寺土寸
悩,忄⺍凶凵㐅
納,糸幺小內入冂
能,䏍厶月匕
破,石皮
馬,三丨灬
俳,亻非
配,酉己
倍,亻咅立口
梅,木毎𠂉毋
剝,彔刂
班,王刂
畔,田半十
般,舟殳几又
疲,疒冫广丶厂皮
秘,禾必心丿
被,衤皮
姫,女臣
俵,亻表龶𧘇
病,疒冫广丶厂丙一内冂人
浜,氵兵丘八一斤
敏,毎𠂉毋攵
浮,氵孚爫子
粉,米分八刀
紛,糸幺小分八刀
陛,⻖坒比土
勉,免⺈儿力
哺,口甫
捕,扌甫
俸,亻奉𡗗一十大
倣,亻放方攵丶万
峰,山夆夂丰
砲,石包勹己
剖,咅立口刂
紡,糸幺小方丶万
埋,土里田
脈,月𠂢
眠,目民氏
娘,女良丶艮
冥,冖日六
耗,耒丿未木毛
紋,糸幺小文亠乂
容,宀谷
浴,氵谷
流,氵㐬𠫓
留,𠂎刀田
竜,立电日乚
旅,方丶万乞𠂉乙ノ
料,米斗
倫,亻侖亼冊人一
涙,氵戻戸大一尸
烈,列歹刂一夕灬
恋,亦心
連,辶車
朗,良丶艮月
浪,氵良丶艮
脇,月劦力
悪,心亜
尉,尸示二小寸
異,田井二
移,禾多夕
萎,艹委禾女
域,土或戈口一弋丿
逸,⻌免⺈儿
淫,氵㸒
陰,⻖侌
液,氵夜亠亻夂丶
菓,艹果田木
貨,化亻匕貝目八
械,木戒廾戈弋丿
崖,山厓
涯,氵厂圭土
殻,壳士冗冖几殳又
郭,享古子十口⻏
掛,扌圭土卜
喝,口日匂勹匕
渇,氵日匂勹匕
乾,車乞𠂉乙
勘,甚甘匹匚儿力
患,心串丨吕
貫,毋貝目八
眼,目艮
基,土其共二龷八
寄,宀奇大可丁口
規,夫二人見目儿
亀,龟日
偽,亻為
菊,艹匊勹米
脚,肉内人冂却去卩厶土
救,求水攵
球,王求水
虚,虍业
許,訁亖口午𠂉十
魚,⺈田灬
強,弘弓厶虫
教,孝耂子攵
郷,幺艮⻏
菌,艹囷禾囗
惧,忄具目ハ
偶,亻禺
掘,扌屈尸出凵丨
啓,口戸一尸攵
掲,扌匂勹匕日
渓,氵爫夫二人
経,糸幺小圣又土
蛍,⺍冖虫
健,亻建廴聿肀二
険,⻖㑒
現,王見目儿
舷,舟玄亠幺
康,广丶厂隶肀水
控,扌空穴工宀八
梗,木更曰囗一
黄,龷由十囗八
黒,里田土灬
頃,匕頁一自八
婚,女昏氏日
混,氵昆日比
痕,疒冫广丶厂艮
紺,糸幺小甘
彩,采爫木彡
採,扌采爫木
済,氵斉
祭,示二小月又
斎,斉小
細,田糸幺小
菜,采爫木艹
埼,土奇大可丁口
崎,山奇大可丁口
惨,忄参厶彡大
産,生𠂉土产
斬,車斤
視,礻見目儿
鹿,广丶厂コ丨比
執,土幸丷干丸丶九
捨,扌舎人𠮷土口
赦,赤攵
斜,余亼朩人一斗
蛇,虫它宀匕
釈,釆禾丷丿米尺尸
寂,宀叔尗又上小
授,扌受爪冖又
終,糸幺小冬夂⺀
羞,⺶丑丿
習,羽习𠃌丿白日
週,⻌周口冂𠮷土
渋,氵止
宿,宀佰亻百一白丿日
淑,氵叔尗又上小
粛,聿肀二米
術,行彳亍一丁朮木丶
庶,广丶厂廿灬
唱,口昌日曰囗一
商,冏冂儿口立
渉,氵歩止少ノ小
章,立早日十
紹,糸幺小召刀口
訟,訁亖口公八厶
剰,乗丿刂
常,尚小冋冂口巾
情,忄青月生𠂉土
深,氵罙㓁木
紳,糸幺小申
進,⻌隹
推,扌隹
酔,酉卆九十
崇,山宗宀示二小
据,扌居尸古十口
清,氵青月生𠂉土
盛,成戊𠃌丿戈弋皿
惜,忄昔龷日
戚,戊丿戈弋尗上小
責,龶貝目八
接,扌妾立女
設,訁亖口殳几又
雪,雨ヨ
旋,方丶万疋乛龰
船,舟㕣八口
措,扌昔龷日
粗,米且
組,糸幺小且
巣,⺍果田木
掃,扌帚彐冖巾
曹,曰囗一曲
曽,丷田日
爽,大㸚
窓,穴宀八厶心
側,亻則貝刂目八
族,方丶万矢𠂉大
率,玄亠幺丷八十
唾,口垂土
堆,土隹
袋,代亻弋衣亠𧘇
逮,⻌隶肀水
第,⺮弓
脱,肉内人冂兑丷兄儿口
探,扌罙㓁木
淡,氵火八人
断,斤米
窒,穴宀八至一厶土
著,艹者老日耂匕
帳,巾長
張,弓長
彫,周口冂𠮷土彡
眺,目兆
釣,釒勺勹丶
頂,丁頁一自八

陳,⻖東束一木口
停,亻亭亠口冖丁
偵,亻貞⺊貝目八
笛,竹由十囗
添,氵忝天㣺一大
転,車云二厶
都,者老日耂匕⻏
悼,忄卓⺊早日十
盗,次冫欠皿
陶,⻖匋勹缶
動,重里千田土力
堂,尚小冋冂口土
得,彳㝵旦寸日一
豚,月豕
貪,今亼乛人一貝目八
梨,利禾刂木
軟,車欠
捻,扌念今心亼乛人一
粘,米占⺊口
脳,肉内人冂⺍凶凵㐅
婆,波氵皮女
排,扌非
敗,貝目八攵
培,土咅立口
陪,⻖咅立口
舶,舟白丿日
販,貝目八反厂又
票,覀示二小
描,扌苗艹田
猫,犭苗艹田
貧,分八刀貝目
瓶,并丷开一廾瓦
婦,女帚彐冖巾
符,⺮付亻寸
部,咅立口⻏
副,畐田刂
閉,門才
偏,亻扁戶冊
崩,山朋月
訪,言方丶万
望,亡亠𠃊月王
堀,土屈尸出凵丨
麻,广丶厂林木
密,宓宀必心丿山
務,矛务夂力
猛,犭孟子皿
問,門口
野,里田土予龴亅
訳,言尺尸
唯,口隹
悠,攸亻丨攵心
郵,垂土⻏
庸,聿肀二广丶厂
欲,谷欠
翌,羽习𠃌丿立
理,王里田土
陸,⻖坴圥土
略,田各夂口
