令,orders,"命令 (めいれい): order
司令 (しれい): command",211
礼,thanks,"失礼 (しつれい): discourtesy
お礼 (おれい): thanks",212
扱,handle,"扱い (あつかい): treatment
扱う (あつかう): to deal with (a person)
取り扱い (とりあつかい): treatment",213
安,cheap,"安全 (あんぜん): safety
不安 (ふあん): anxiety
安心 (あんしん): relief
安い (やすい): cheap
安定 (あんてい): stability",214
衣,clothes,"衣装 (いしょう): clothing
衣 (ころも): clothes
浴衣 (ゆかた): yukata (light cotton kimono worn in the summer or used as a bathrobe)",215
芋,potato,芋 (いも): tuber,216
印,mark,"印象 (いんしょう): impression
印刷 (いんさつ): printing
印 (しるし): mark",217
因,cause,"原因 (げんいん): cause
要因 (よういん): main cause
因みに (ちなみに): by the way",218
宇,eaves,宇宙 (うちゅう): universe,219
羽,feather,羽 (はね): feather,220
汚,dirty,"汚染 (おせん): pollution
汚れ (よごれ): dirt
汚い (きたない): dirty",221
仮,temporary,"仮想 (かそう): imagination
仮に (かりに): supposing
仮定 (かてい): assumption
仮 (かり): temporary
仮説 (かせつ): hypothesis",222
回,times,"今回 (こんかい): now
回 (かい): counter for occurrences
前回 (ぜんかい): previous time
次回 (じかい): next time (occasion)
回復 (かいふく): restoration",223
灰,ashes,,224
会,association,"会 (かい): meeting
会社 (かいしゃ): company
社会 (しゃかい): society
機会 (きかい): chance
会場 (かいじょう): assembly hall",225
各,each,"各 (かく): each
各種 (かくしゅ): every kind
各地 (かくち): every place
各国 (かっこく): each nation
各自 (かくじ): each (person)",226
汗,sweat,汗 (あせ): sweat,227
缶,tin can,缶 (かん): can,228
企,plan,"企業 (きぎょう): enterprise
企画 (きかく): planning",229
伎,deed,,230
危,dangerous,"危険 (きけん): danger
危機 (きき): crisis
危ない (あぶない): dangerous",231
机,desk,机 (つくえ): desk,232
気,feeling,"気 (き): spirit
気持ち (きもち): feeling
気分 (きぶん): feeling
雰囲気 (ふんいき): atmosphere
人気 (にんき): popularity",233
吉,good luck,,234
休,rest,"休み (やすみ): rest
休憩 (きゅうけい): rest
連休 (れんきゅう): consecutive holidays
夏休み (なつやすみ): summer vacation
休日 (きゅうじつ): holiday",235
吸,suck,"呼吸 (こきゅう): breathing
吸収 (きゅうしゅう): absorption
吸血鬼 (きゅうけつき): vampire",236
朽,decay,,237
臼,mortar,,238
共,together,"共有 (きょうゆう): joint ownership
共通 (きょうつう): common
共同 (きょうどう): doing together (as equals)
共感 (きょうかん): sympathy
公共 (こうきょう): public",239
叫,shout,"叫び (さけび): shout
叫ぶ (さけぶ): to shout",240
仰,face-up,信仰 (しんこう): (religious) faith,241
曲,musical composition,"曲 (きょく): composition
作曲 (さっきょく): composition
楽曲 (がっきょく): musical composition
名曲 (めいきょく): famous music
新曲 (しんきょく): new piece",242
刑,punish,"刑事 (けいじ): (police) detective
死刑 (しけい): death penalty",243
血,blood,"血 (ち): blood
血液 (けつえき): blood
血管 (けっかん): blood vessel
血圧 (けつあつ): blood pressure
吸血鬼 (きゅうけつき): vampire",244
件,affair,"事件 (じけん): event
件 (けん): matter
条件 (じょうけん): condition
案件 (あんけん): matter (to discuss)
物件 (ぶっけん): article",245
交,mix,"交換 (こうかん): exchange
交流 (こうりゅう): (cultural) exchange
交通 (こうつう): traffic
交渉 (こうしょう): negotiations
交代 (こうたい): alternation",246
光,ray,"光 (ひかり): light
観光 (かんこう): sightseeing
光景 (こうけい): scene
光る (ひかる): to shine",247
向,over there,"向け (むけ): intended for ...
方向 (ほうこう): direction
傾向 (けいこう): tendency
向かう (むかう): to face
向上 (こうじょう): elevation",248
后,empress,,249
好,like,"好き (すき): liked
大好き (だいすき): loveable
好み (このみ): liking
格好 (かっこう): shape
好評 (こうひょう): favorable reception",250
江,inlet,"江戸 (えど): Edo (old name of Tokyo)
江 (え): inlet",251
考,think,"考え (かんがえ): thinking
考える (かんがえる): to think (about, of)
参考 (さんこう): reference
考え方 (かんがえかた): way of thinking
思考 (しこう): thought",252
行,go,"行く (いく): to go
行き (いき): the way there
行動 (こうどう): action
行う (おこなう): to perform
実行 (じっこう): execution (e.g. of a plan)",253
合,fit,"場合 (ばあい): case
試合 (しあい): match
組み合わせ (くみあわせ): combination
具合 (ぐあい): condition
都合 (つごう): circumstances",254
再,again,"再 (さい): re-
再生 (さいせい): resuscitation
再び (ふたたび): again
再度 (さいど): twice
再開 (さいかい): reopening",255
在,exist,"現在 (げんざい): now
存在 (そんざい): existence
滞在 (たいざい): stay
在庫 (ざいこ): inventory
在住 (ざいじゅう): residing",256
旨,delicious,"旨 (むね): principle
趣旨 (しゅし): meaning",257
死,death,"死 (し): death
死ぬ (しぬ): to lose spirit
必死 (ひっし): frantic
死亡 (しぼう): death
死者 (ししゃ): casualty",258
糸,thread,糸 (いと): thread,259
至,climax,至る (いたる): to arrive at (e.g. a decision),260
字,letter,"文字 (もじ): letter (of alphabet)
数字 (すうじ): numeral
字 (あざ): section of village
漢字 (かんじ): Chinese characters
赤字 (あかじ): (being in) the red",261
寺,buddhist temple,寺 (てら): temple (Buddhist),262
次,next,"次 (つぎ): next
次回 (じかい): next time (occasion)
次第 (しだい): depending on
次元 (じげん): dimension
次々 (つぎつぎ): in succession",263
耳,ear,耳 (みみ): ear,264
自,oneself,"自分 (じぶん): myself
自身 (じしん): (one's) self
自然 (しぜん): nature
自由 (じゆう): freedom
自己 (じこ): self",265
式,style,"式 (しき): equation
形式 (けいしき): form (as opposed to substance)
公式 (こうしき): formal
方式 (ほうしき): form
正式 (せいしき): due form",266
芝,turf,"芝 (しば): lawn
芝居 (しばい): play",267
守,protect,"守る (まもる): to protect
守り (もり): babysitting
保守 (ほしゅ): maintenance
守備 (しゅび): defense",268
朱,vermilion,,269
州,state,"州 (しゅう): state
九州 (きゅうしゅう): Kyushu (southernmost of the four main islands of Japan)
欧州 (おうしゅう): Europe",270
舟,boat,,271
充,allot,"充実 (じゅうじつ): fullness
充電 (じゅうでん): charging (electrically)",272
旬,10-day period,"中旬 (ちゅうじゅん): middle of a month
旬 (しゅん): season (e.g. fruit, fish)
下旬 (げじゅん): last third of a month
上旬 (じょうじゅん): first 10 days of month",273
巡,patrol,巡る (めぐる): to go around,274
如,likeness,如何 (どう): how,275
匠,artisan,師匠 (ししょう): master,276
