亜 a
宛 a-teru
挨 ai
愛 ai
曖 ai
案 an
嵐 arashi
圧 atsu
扱 atsuka-u
婆 ba
芳 hou/kanba-shii
方 hou/kata
峰 hou/mine
報 hou/muku-iru
倣 hou/nara-u
縫 hou/nu-u
宝 hou/takara
奉 hou/tatematsu-ru
包 hou/tsutsu-mu
豊 hou/yuta-ka
漂 hyou/tadayo-u
俵 hyou/tawara
偉 i/era-i
衣 i/koromo
異 i/koto
位 i/kurai
萎 i/na-eru
畏 i/oso-reru
委 i/yuda-neru
淫 in/mida-ra
飲 in/no-mu
印 in/shirushi
因 in/yo-ru
字 ji/aza
慈 ji/itsuku-shimu
事 ji/koto
耳 ji/mimi
持 ji/mo-tsu
似 ji/ni-ru
侍 ji/samurai
寺 ji/tera
時 ji/toki
辞 ji/ya-meru
刃 jin/ha
尋 jin/tazu-neru
除 jo/nozo-ku
如 jo/nyo
辱 joku/hazukashi-meru
場 jou/ba
醸 jou/kamo-su
情 jou/nasa-ke
縄 jou/nawa
城 jou/shiro
丈 jou/take
譲 jou/yuzu-ru
寿 ju/kotobuki
呪 ju/noro-u
熟 juku/u-reru
巡 jun/megu-ru
盾 jun/tate
述 jutsu/no-beru
充 juu/a-teru
獣 juu/kemono
汁 juu/shiru
縦 juu/tate
価 ka/atai
花 ka/hana
華 ka/hana
火 ka/hi
暇 ka/hima
仮 ka/kari
稼 ka/kase-gu
河 ka/kawa
靴 ka/kutsu
何 ka/nani
夏 ka/natsu
荷 ka/ni
渦 ka/uzu
絵 kai/e
灰 kai/hai
戒 kai/imashi-meru
塊 kai/katamari
快 kai/kokoroyo-i
皆 kai/mina
海 kai/umi
獲 kaku/e-ru
殻 kaku/kara
革 kaku/kawa
各 kaku/onoono
汗 kan/ase
鑑 kan/kanga-miru
冠 kan/kanmuri
肝 kan/kimo
管 kan/kuda
幹 kan/miki
寒 kan/samu-i
勧 kan/susu-meru
堪 kan/ta-eru
貫 kan/tsuranu-ku
患 kan/wazura-u
館 kan/yakata
渇 katsu/kawa-ku
葛 katsu/kuzu
兄 kei/ani
契 kei/chigi-ru
蛍 kei/hotaru
掲 kei/kaka-geru
型 kei/kata
茎 kei/kuki
詣 kei/mou-deru
鶏 kei/niwatori
継 kei/tsu-gu
敬 kei/uyama-u
犬 ken/inu
兼 ken/ka-neru
鍵 ken/kagi
賢 ken/kashiko-i
肩 ken/kata
堅 ken/kata-i
険 ken/kewa-shii
絹 ken/kinu
拳 ken/kobushi
繭 ken/mayu
軒 ken/noki
健 ken/suko-yaka
研 ken/to-gu
剣 ken/tsurugi
穴 ketsu/ana
血 ketsu/chi
潔 ketsu/isagiyo-i
旗 ki/hata
機 ki/hata
幾 ki/iku
祈 ki/ino-ru
