一,one
略,abbreviation
粒,grains
隆,hump
涼,refreshing
猟,game-hunting
陵,mausoleum
累,accumulate
握,grip
嵐,storm
偉,admirable
椅,chair
飲,drink
運,carry
雲,cloud
営,manage
詠,recitation
越,cross over
媛,princess
援,aid
奥,heart
温,warm
渦,whirlpool
過,go beyond
賀,congratulations
絵,picture
開,open
階,floor of a building
街,street
覚,memorize
割,divide
葛,arrowroot
寒,cold
喚,yell
堪,withstand
換,interchange
敢,daring
棺,coffin
款,goodwill
間,interval
閑,leisure
喜,rejoice
幾,how many
揮,brandish
期,period of time
棋,chess piece
貴,precious
欺,deceit
喫,consume
給,salary
距,long-distance
御,honorable
暁,daybreak
極,poles
勤,diligence
琴,harp
筋,muscle
遇,interview
隅,corner
敬,respect
景,scenery
軽,light
結,tie
圏,sphere
堅,strict
検,examine
減,decrease
湖,lake
雇,employ
喉,throat
慌,disconcerted
港,harbor
硬,stiff
絞,strangle
項,paragraph
詐,lie
最,most
裁,judge
策,scheme
酢,vinegar
傘,umbrella
散,scatter
紫,purple
詞,poetry
歯,tooth
滋,nourishing
軸,axis
湿,damp
煮,boil
就,concerning
衆,masses
集,collect
循,sequential
順,obey
暑,hot
勝,win
掌,manipulate
晶,sparkle
焼,bake
焦,char
硝,nitrate
粧,cosmetics
詔,imperial edict
証,evidence
象,elephant
場,place
畳,tatami mat
植,plant
殖,augment
森,forest
診,checkup
尋,inquire
須,by all means
遂,consummate
随,follow
婿,bridegroom
晴,clear up
税,tax
絶,discontinue
善,good
然,so
疎,alienate
訴,sue
創,create
喪,miss
痩,get thin
葬,interment
装,attire
測,fathom
属,belong
尊,revered
堕,degenerate
惰,lazy
替,exchange
貸,lend
隊,group
達,attain
棚,shelf
短,short
弾,bullet
遅,slow
着,wear
貯,savings
朝,morning
貼,paste
超,transcend
椎,oak
痛,pain
塚,hillock
堤,dike
提,present
程,extent
渡,transit
塔,pagoda
搭,board
棟,ridgepole
湯,hot water
痘,pox
登,climb
答,answer
等,class
筒,cylinder
統,unite
童,juvenile
道,road
鈍,dull
廃,abolish
媒,mediator
買,buy
博,dr.
斑,blemish
飯,meal
晩,nightfall
番,one's turn
蛮,barbarian
悲,sad
扉,front door
費,expense
備,provide
筆,writing brush
評,evaluate
富,rich
普,universal
幅,breadth
復,again
雰,atmosphere
塀,fence
遍,everywhere
補,supplement
募,recruit
報,report
傍,bystander
帽,cap
棒,rod
貿,trade
満,full
無,nothing
喩,metaphor
愉,pleasure
湧,boil
猶,furthermore
裕,abundant
遊,play
雄,male
揚,hoist
揺,swing
葉,leaf
陽,sunshine
絡,entwine
落,fall
痢,diarrhea
硫,sulphur
量,quantity
塁,bases
裂,split
廊,corridor
惑,beguile
湾,gulf
腕,arm
愛,love
暗,dark
彙,same kind
意,idea
違,differ
園,garden
煙,smoke
猿,monkey
遠,far
鉛,lead
塩,salt
虞,uneasiness
嫁,marry into
暇,spare time
禍,calamity
靴,shoes
雅,gracious
塊,clod
楷,square character style
解,untie
慨,rue
蓋,cover
該,above-stated
較,contrast
隔,isolate
楽,pleasure
滑,slippery
褐,brown
勧,persuade
寛,tolerant
幹,tree-trunk
感,feeling
漢,china
頑,stubborn
棄,abandon
毀,destroy
義,righteousness
詰,packed
嗅,smell
業,business
僅,a wee bit
禁,prohibition
愚,foolish
窟,cavern
群,flock
傾,lean
携,portable
継,inherit
詣,visit a temple
隙,fissure
傑,greatness
嫌,dislike
献,offering
絹,silk
遣,dispatch
源,origin
誇,boast
鼓,drum
碁,go
溝,gutter
鉱,mineral
傲,be proud
債,bond
催,sponsor
塞,obstruct
歳,year-end
載,ride
罪,guilt
搾,squeeze
嗣,heir
試,test
詩,poem
資,resources
飼,domesticate
慈,mercy
辞,resign
嫉,envy
腫,tumor
愁,distress
酬,repay
準,standard
署,government office
傷,wound
奨,exhort
照,illuminate
詳,detailed
蒸,steam
飾,decorate
触,contact
寝,lie down
慎,humility
新,new
腎,kidney
睡,drowsy
数,number
裾,cuff
勢,power
聖,holy
誠,sincerity
跡,tracks
摂,vicarious
節,node
戦,war
煎,broil
羨,envy
腺,gland
詮,discussion
践,tread
禅,zen
塑,model
僧,buddhist priest
想,concept
賊,burglar
続,continue
損,loss
滞,stagnate
滝,waterfall
嘆,sigh
暖,warmth
痴,stupid
稚,immature
置,put
蓄,amass
腸,intestines
跳,hop
賃,fare
艇,rowboat
溺,drown
鉄,iron
塡,fill in
殿,mr.
電,electricity
塗,paint
働,work
督,coach
頓,suddenly
農,farming
漠,vague
鉢,bowl
搬,conveyor
煩,anxiety
頒,partition
微,delicate
福,luck
腹,abdomen
墓,grave
蜂,bee
豊,bountiful
飽,sated
睦,harmonious
幕,curtain
夢,dream
盟,alliance
滅,destroy
誉,reputation
預,deposit
溶,melt
腰,loins
裸,naked
雷,thunder
酪,dairy products
裏,back
慄,fear
虜,captive
鈴,small bell
零,zero
廉,bargain
賂,bribe
路,road
楼,watchtower
話,talk
賄,bribe
維,fiber
隠,conceal
駅,station
演,perform
寡,widow
歌,song
箇,counters for things
概,outline
閣,tall
慣,accustomed
管,pipe
関,related
旗,national flag
疑,doubt
漁,fishing
境,boundary
銀,silver
駆,drive
熊,bear
語,language
誤,mistake
構,construct
綱,hawser
酵,fermentation
豪,overpowering
穀,cereals
酷,cruel
獄,prison
魂,soul
際,occasion
察,guess
雑,miscellaneous
算,calculate
酸,acid
誌,document
雌,feminine
磁,magnet
漆,lacquer
遮,intercept
種,kind
需,demand
銃,gun
塾,cram school
緒,thong
彰,patent
障,hurt
精,refined
製,manufacture
誓,vow
静,quiet
説,theory
箋,paper
銭,coin
漸,steadily
遡,go upstream
層,stratum
総,whole
遭,encounter
像,statue
増,increase
憎,hate
遜,humble
駄,burdensome
態,condition
奪,rob
端,edge
綻,rip
嫡,legitimate wife
徴,indications
漬,pickling
摘,pinch
滴,drip
適,suitable
稲,rice plant
銅,copper
徳,benevolence
読,read
認,recognize
寧,rather
髪,hair of the head
罰,penalty
閥,clique
碑,tombstone
鼻,nose
漂,drift
腐,rot
複,duplicate
聞,hear
蔑,ignore
慕,pining
暮,livelihood
貌,appearance
僕,me
墨,black ink
膜,membrane
慢,ridicule
漫,cartoon
蜜,honey
銘,inscription
鳴,chirp
綿,cotton
模,imitation
網,netting
誘,entice
様,formal title
瘍,swelling
踊,jump
辣,bitter
僚,colleague
領,territory
緑,green
瑠,lapis lazuli
暦,calendar
歴,curriculum
練,practice
漏,leak
慰,consolation
遺,bequeath
影,shadow
鋭,pointed
謁,audience
閲,review
縁,affinity
横,side
億,hundred million
稼,earnings
課,section
餓,starve
潰,crush
確,certain
潟,lagoon
歓,delight
監,oversee
緩,slacken
器,container
畿,capital
輝,radiance
儀,ceremony
戯,frolic
窮,hard up
緊,tense
勲,meritorious deed
慶,jubilation
憬,long for
稽,consider
劇,drama
撃,beat
潔,undefiled
権,rights
稿,draft
駒,horse
撮,snapshot
賛,approve
暫,temporarily
摯,seriousness
賜,grant
餌,bait
質,quality
趣,gist
熟,ripen
潤,wet
遵,abide by
諸,various
憧,desire
衝,collide
賞,prize
縄,straw rope
嘱,entrust
審,examine
震,quake
穂,ear
請,solicit
潜,submerge
線,line
遷,transition
選,choose
槽,vat
踪,remains
蔵,warehouse
諾,consent
誰,who (question word)
誕,nativity
談,discuss
鋳,casting
駐,stop-over
嘲,ridicule
潮,tide
澄,lucidity
調,investigate
墜,crash
締,tighten
敵,enemy
徹,penetrate
撤,remove
踏,step
導,guide
熱,heat
罵,insult
輩,comrade
賠,compensation
箱,box
箸,chopsticks
範,pattern
盤,tray
罷,quit
膝,knee
標,signpost
賓,vip
敷,spread
膚,skin
賦,levy
舞,dance
噴,erupt
墳,tomb
憤,aroused
幣,cash
弊,abuse
蔽,cover
餅,mochi rice cake
編,compile
舗,pavement
褒,praise
暴,outburst
撲,slap
摩,chafe
魅,fascination
黙,silence
憂,melancholy
窯,kiln
養,foster
履,footgear
璃,glassy
慮,prudence
寮,dormitory
輪,wheel
霊,spirits
論,theory
緯,horizontal
衛,defense
憶,recollection
穏,calm
壊,demolition
懐,pocket
諧,harmony
骸,dead remains
獲,seize
憾,remorse
還,send back
館,public building
機,machine
橋,bridge
凝,congeal
錦,brocade
薫,fragrant
憩,recess
激,violent
憲,constitution
賢,intelligent
錮,tie up
興,entertain
衡,equilibrium
鋼,steel
墾,ground-breaking
錯,confused
諮,consult with
儒,confucian
樹,trees
獣,animal
縦,vertical
壌,lot
嬢,lass
錠,lock
薪,fuel
親,parent
整,put in order
醒,be disillusioned
積,accumulate
薦,recommend
膳,tray
操,maneuver
濁,voiced
壇,podium
緻,fine (not coarse)
築,fabricate
諦,abandon
賭,gamble
糖,sugar
頭,head
篤,fervent
曇,cloudy weather
燃,burn
濃,concentrated
薄,dilute
縛,truss
繁,luxuriant
避,evade
奮,stirred up
壁,wall
縫,sew
膨,swell
謀,conspire
頰,cheek
磨,grind
麺,noodles
薬,medicine
諭,rebuke
輸,transport
融,dissolve
擁,embrace
謡,noh chanting
頼,trust
隣,neighboring
隷,slave
錬,tempering
録,record
曖,not clear
臆,timidity
嚇,menacing
轄,control
環,ring
擬,mimic
犠,sacrifice
矯,rectify
謹,discreet
謙,self-effacing
鍵,key
厳,strict
講,lecture
購,subscription
懇,sociable
擦,grate
謝,apologize
爵,baron
醜,ugly
縮,shrink
償,reparation
礁,reef
績,exploits
繊,slender
鮮,fresh
燥,parch
霜,frost
戴,be crowned with
濯,laundry
鍛,forge
聴,listen
謄,mimeograph
瞳,pupil
謎,riddle
鍋,pot
頻,repeatedly
闇,darkness
優,superior
翼,wing
覧,perusal
療,heal
瞭,clear
齢,age
穫,harvest
額,amount
顎,jaw
鎌,sickle
簡,simplicity
観,observe
韓,korea
顔,face
騎,equestrian
襟,collar
繭,cocoon
顕,appear
験,test
鎖,chain
瞬,wink
織,weave
職,employment
繕,darning
礎,cornerstone
騒,boisterous
贈,presents
題,topic
懲,penal
鎮,tranquilize
藤,wisteria
闘,fight
難,difficult
藩,clan
覆,capsize
璧,sphere
癖,mannerism
翻,flip
癒,healing
曜,day of the week
濫,excessive
藍,indigo
糧,provisions
臨,look to
類,sort
韻,rhyme
艶,glossy
願,request
鏡,mirror
繰,winding
警,guard against
鶏,chicken
鯨,whale
璽,emperor's seal
識,discriminating
蹴,kick
髄,marrow
瀬,rapids
藻,seaweed
臓,entrails
覇,hegemony
爆,explode
譜,musical score
簿,register
霧,fog
羅,gauze
離,detach
麗,lovely
麓,foot of a mountain
議,deliberation
競,compete
響,echo
懸,suspend
護,safeguard
鐘,bell
譲,defer
醸,brew
籍,enroll
騰,inflation
欄,column
艦,warship
顧,look back
鶴,crane
魔,witch
躍,leap
露,dew
驚,wonder
襲,attack
籠,basket
鑑,specimen
鬱,gloom
