島,island,"島 (とう): Island
広島 (ひろしま): Hiroshima (city)
中島 (なかじま): island in a pond or river
小島 (こじま): small island
半島 (はんとう): peninsula"
無,nothing,"無い (ない): unowned
無理 (むり): unreasonable
無料 (むりょう): free (of charge)
無事 (ぶじ): safety
無 (ぶ): un-"
連,take along,"連絡 (れんらく): to contact
関連 (かんれん): relation
連れ (つれ): companion
連続 (れんぞく): continuation
連休 (れんきゅう): consecutive holidays"
申,say,"申し訳 (もうしわけ): apology
申請 (しんせい): application
申し込み (もうしこみ): application
申告 (しんこく): report
申 (さる): ninth sign of the Chinese zodiac (The Monkey, 3pm-5pm, west-southwest, July)"
神,god,"精神 (せいしん): mind
神 (かむ): divine
神社 (じんじゃ): Shinto shrine
神戸 (こうべ): Kobe (city)
神経 (しんけい): nerve"
理,reason,"理解 (りかい): understanding
理由 (りゆう): reason
管理 (かんり): control
料理 (りょうり): cooking
無理 (むり): unreasonable"
共,together,"共有 (きょうゆう): joint ownership
共通 (きょうつう): common
共同 (きょうどう): doing together (as equals)
共感 (きょうかん): sympathy
公共 (こうきょう): public"
巳,sign of the snake,"巳 (み): sixth sign of the Chinese zodiac (The Serpent, 9am-11am, south-southeast, April)
辰巳 (たつみ): southeast
上巳 (じょうし): Doll's Festival (March 3)"
選,choose,"選択 (せんたく): selection
選手 (せんしゅ): player (sports)
選挙 (せんきょ): election
選ぶ (えらぶ): to choose
選び (えらび): choosing"
外,outside,"以外 (いがい): with the exception of
外 (がい): outside of
海外 (かいがい): foreign
外国 (がいこく): foreign country
意外 (いがい): unexpected"
画,tableau,"映画 (えいが): movie
画面 (がめん): screen (of a TV, computer, etc.)
画像 (がぞう): image
動画 (どうが): video
計画 (けいかく): plan"
実,truth,"実際 (じっさい): practicality
実は (じつは): as a matter of fact
現実 (げんじつ): reality
事実 (じじつ): fact
実行 (じっこう): execution (e.g. of a plan)"
冫,ice,
楽,pleasure,"音楽 (おんがく): music
楽しみ (たのしみ): enjoyment
楽しい (たのしい): enjoyable
楽 (らく): comfort
楽しむ (たのしむ): to enjoy (oneself)"
匕,spoon,匕首 (あいくち): dagger
北,north,"北 (ペー): north wind tile
北海道 (ほっかいどう): Hokkaido (island, prefectural-level administrative unit)
東北 (とうほく): north-east
北朝鮮 (きたちょうせん): North Korea
北京 (ペキン): Beijing (China)"
音,sound,"音 (おと): sound
音楽 (おんがく): music
音声 (おんせい): voice
録音 (ろくおん): (audio) recording
音質 (おんしつ): tone quality"
意,idea,"意味 (いみ): meaning
意識 (いしき): consciousness
意見 (いけん): opinion
注意 (ちゅうい): caution
用意 (ようい): preparation"
水,water,"水 (すい): shaved ice (served with flavored syrup)
水分 (すいぶん): water
水道 (すいどう): water supply
清水 (しみず): spring water
水曜日 (すいようび): Wednesday"
父,father,"父 (ちち): father
父親 (ちちおや): father
お父さん (おとうさん): father
親父 (おやじ): one's father
祖父 (そふ): grandfather"
交,mix,"交換 (こうかん): exchange
交流 (こうりゅう): (cultural) exchange
交通 (こうつう): traffic
交渉 (こうしょう): negotiations
交代 (こうたい): alternation"
校,school,"学校 (がっこう): school
小学校 (しょうがっこう): primary school
高校生 (こうこうせい): senior high school student
校 (こう): school
中学校 (ちゅうがっこう): junior high school"
匚,box,
区,ward,"区 (く): ward
地区 (ちく): district
区別 (くべつ): distinction
区域 (くいき): limits
区画 (くかく): division"
