地,ground,,"地 (ち): earth, ground, land, soil
地域 (ちいき): area, region
地球 (ちきゅう): the earth, the globe
地震 (じしん): earthquake
土地 (とち): plot of land, lot, soil"
止,"kanji component: to stop",とめる,"止め (とどめ): finishing blow, clincher
停止 (ていし): stoppage, coming to a stop, halt, standstill
禁止 (きんし): prohibition, inhibition, ban
中止 (ちゅうし): suspension, stoppage, discontinuance, interruption
防止 (ぼうし): prevention, check"
午,noon,,"午後 (ごご): afternoon, p.m.
午前 (ごぜん): morning, a.m.
正午 (しょうご): noon, midday
午 (うま): seventh sign of the Chinese zodiac (The Horse, 11am-1pm, south, May)
端午 (たんご): Boy's Day celebration (May 5)"
卩,"kanji component: stamp, seal",ふしづくり,
卸,wholesale,,"卸売 (おろしうり): wholesale, wholesaling
卸 (おろし): dropping, unloading, removing
棚卸 (たなおろし): stocktaking, inventory count
卸し (おろし): dropping, unloading, removing
棚卸し (たなおろし): stocktaking, inventory count"
御,honorable,,"御 (ご): honorific suffix
制御 (せいぎょ): control (of a machine, device, etc.)
防御 (ぼうぎょ): defense, defence, safeguard, protection
御飯 (ごはん): cooked rice
御礼 (おれい): thanks, gratitude"
至,"kanji component: to arrive, reach",いたる,"至る (いたる): to arrive at (e.g. a decision), to reach (a stage), to attain
至り (いたり): utmost limit, extremity, result
至福 (しふく): beatitude, supreme bliss
至極 (しごく): very, extremely, exceedingly, quite, most
至上 (しじょう): supremacy"
屋,roof,,"屋 (や): (something) shop
部屋 (へや): room, chamber
名古屋 (なごや): Nagoya (city)
屋根 (やね): roof
本屋 (ほんおく): principal residence"
廾,"kanji component: folded hands",にじゅうあし,
廿,twenty,,"廿 (にじゅう): twenty"
厂,"kanji component: cliff",がんだれ,
广,"kanji component: slanting roof",まだれ,
度,degrees,,"度 (たび): time (three times, each time, etc.), times
程度 (ていど): degree, amount, grade, standard, of the order of (following a number), about, approximately
今度 (こんど): this time, now
一度 (いちど): once, one time, on one occasion
ある程度 (あるていど): to some extent, to a certain extent"
同,same,,"同じ (おなじ): same, identical, equal, uniform, equivalent, similar, common (origin), changeless, alike
同 (どう): the same, the said, ibid.
同時に (どうじに): coincident with, while, simultaneously
同様 (どうよう): identical, equal to, same (kind), like, similarity
同期 (どうき): same period, corresponding period"
不,non-,,"不安 (ふあん): anxiety, uneasiness, worry, apprehension, fear, insecurity, suspense
不思議 (ふしぎ): wonderful, marvelous, strange, incredible, amazing, curious, miraculous, mysterious
不足 (ふそく): insufficiency, shortage, deficiency, lack, dearth
不明 (ふめい): unclear, obscure, indistinct, uncertain, ambiguous
不 (ふ): un-, non-, negative prefix"
実,truth,,"実際 (じっさい): practicality, practical
実は (じつは): as a matter of fact, by the way, to tell you the truth, to be honest, frankly
現実 (げんじつ): reality, actuality, hard fact
事実 (じじつ): fact, truth, reality
実行 (じっこう): execution (e.g. of a plan), carrying out, practice, action, implementation, fulfillment, realization"
