職: 耳 戠
色: 巴 勹
触: 角 虫
食: 人 良
辱: 辰 寸
伸: 亻 申
信: 亻 言
侵: 亻 冖 又 ⺕ #is4 hasbrother
唇: 口 辰
娠: 女 辰
寝: 丬 冖 又 ⺕ 宀 #is5 hasbrother
審: 宀 番
心: #is0
慎: 忄 真
振: 扌 辰
新: 亲 斤
森: 木 林
浸: 氵 冖 又 ⺕ #is4 hasbrother
深: 氵 罙
申: #is0
真: 十 具
神: 礻 申
紳: 糸 申
臣: #is0
薪: 新 艹
親: 亲 見
診: 訁 㐱
身: #is0
辛: 立 十
進: ⻌ 隹
針: 釒 十
震: 雨 辰
人: #is0
仁: 亻 二
刃: 丶 刀
尋: 口 寸 工 ヨ #is4
甚: 甘 匹
尽: 尺 ⺀
迅: ⻌ 卂
陣: ⻖ 車
酢: 酉 乍
図: 囗 #radonly shinjitai
吹: 囗 欠
垂: 土 #ispartial
帥: 𠂤 巾
推: 扌 隹
水: #is0
炊: 火 欠
睡: 目 垂
粋: 米 卆
衰: 衣 #ispartial
遂: ⻌ 㒸
酔: 酉 卆
錘: 釒 垂
随: ⻖ 迶
髄: 骨 迶
崇: 山 宗
数: 娄 攵
枢: 木 区
据: 扌 居
杉: 木 彡
澄: 氵 登
寸: #ispartial
世: 廿 𠃊
瀬: 氵 頼
畝: 亩 久
亩: 亠 田
是: 日 疋
制: 刂 牛 巾 #is3
勢: 力 埶
姓: 生 女
征: 彳 正
性: 忄 生
成: 戊 𠃌
戊: 丿 戈
政: 正 攵
整: 正 敕
星: 日 生
晴: 日 青
正: 一 止
清: 氵 青
牲: 牛 生
生: 𠂉 土
盛: 成 皿
精: 米 青
聖: 王 耳 口
声: 士 尸
製: 制 衣
西: #is0
誠: 訁 成
誓: 言 折
請: 訁 青
逝: ⻌ 折
青: 月 生
静: 青 争
斉: #is0 shinjitai
税: 禾 兑
隻: 隹 又
席: 巾 广 廿 #is3
惜: 忄 昔
斥: 斤
昔: 龷 日
析: 木 斤
石: #is0
積: 禾 責
籍: ⺮ 耤
績: 糸 責
責: 龶 貝
赤: #is0
跡: ⻊ 赤
切: 刀 七
拙: 扌 出
接: 扌 妾
摂: 扌 耳 丷 八 #is4
折: 扌 斤
設: 訁 殳
窃: 穴 切
節: ⺮ 即
説: 訁 兑
雪: 雨 ヨ
絶: 糸 色
舌: 千 口
仙: 亻 山
先: ⺧ 儿
千: #is0
占: ⺊ 口
宣: 宀 亘
専: 叀 寸
川: #is0
戦: 単 戈
扇: 戸 羽
栓: 木 全
泉: 水 白
浅: 氵 㦮
洗: 氵 先
染: 木 氿
潜: 氵 替
旋: 方 疋
線: 糸 泉
繊: 糸 𢦏 业 #is3
船: 舟 㕣
薦: 艹 廌
践: 足 㦮
選: ⻌ 巽
遷: ⻌ 䙴
銭: 釒 㦮
銑: 釒 先
鮮: 魚 羊
前: 䒑 刖
